ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
400000	101	S	4	41	52582	19.23	459.835	38.081498	-122.547963	.415	ML	4	SR-37 conn-s-diag	DT5A2	L4-S-27-101-01923	101482	424150
400001	101	N	4	85	68000	38.26	387.897	37.364085	-121.901149	.265	ML	5	NB 880 rm-n-loop	DT697	L5-N-37-101-03826	998145	426518
400002	101	S	4	81	68252	14.67	416.893	37.584097	-122.328465	.31	ML	5	Peninsula Ave OC	DT243	L5-S-35-101-01467	106296	426945
400006	880	S	4	1	81204	13.54	23.767	37.605003	-122.065542	.34	ML	4	Whipple Rd rm-s-diag	DTA20	L4-S-33-880-01354	998415	421858
400007	101	N	4	81	68252	15.25	417.437	37.586936	-122.337721	.365	ML	5	2000' N of Pennisula Ave	DT275	L5-N-35-101-01525	999325	426427
400009	80	W	4	1	6000	5.7	11.01	37.864883	-122.303345	.321	ML	5	oppo University Ave off-e-diag	DT321	L5-W-33-080-00570	997005	427288
400010	101	N	4	81		20.27	422.457	37.629765	-122.402365	.47	ML	4	San Bruno Ave off-n-diag	DT1A9	L4-N-35-101-02027	106341	422356
400011	101	S	4	41	52582	16.15	456.755	38.041862	-122.536533	.225	ML	5	2600' N of Miller Creek Rd	DT556	L5-S-27-101-01615	103468	426595
400014	101	N	4	85	68000	27.22	376.491	37.245818	-121.775473	.29	ML	5	Bernal rd  rm-n-diag	DT770	L5-N-37-101-02722	998217	422542
400017	85	S	4	85	68000	10.07	10.07	37.253303	-121.94544	.43	ML	4	BASCOM AVE	DT551	L4-S-37-085-01007	998071	419898
400025	680	N	4	13	83346	13.7	45.192	37.892272	-122.06331	.365	ML	5	NEWELL AVE	DT542	L5-N-28-680-01370	682267	423448
400026	580	E	4	1	53000	43.47	59.403	37.809611	-122.246363	.47	ML	4	Lakeshore Ave on-e-diag	DT109	L4-E-33-580-04347	580246	420378
400027	80	E	4	13	60620	1.24	14.573	37.914241	-122.317388	.21	ML	4	oppo E of Carlson Blvd	DTA13	L4-E-28-080-00124	802167	420138
400028	280	N	4	81	73262	22.96	45.5	37.649733	-122.451962	.65	ML	4	Westborough Blvd	DT006	L4-N-35-280-02296	280251	422440
400030	880	S	4	85	68000	3.64	3.64	37.359087	-121.906538	.25	ML	4	N First St rm-s-loop	DT969	L4-S-37-880-00364	880130	421412
400031	580	W	4	1	53000	40.11	56.34	37.787056	-122.196191	.847	ML	4	EB High St. off ramp	DT105	L4-W-33-580-04011	580235	422950
400037	680	S	4	13	57764	R17.58	49.133	37.943971	-122.058927	.215	ML	6	Monument Blvd rm-s-diag	DT740	L6-S-28-680-R1758	998199	423690
400038	880	S	4	1	33000	14.95	25.177	37.622701	-122.078223	.48	ML	5	2200' N of Industrial Pkwy	DT388	L5-S-33-880-01495	881222	426770
400039	101	N	4	81		20.78	422.967	37.637025	-122.404035	.195	ML	4	SFIA/San Bruno Ave	DT1A3	L4-N-35-101-02078	101349	422368
